Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Ayoub  Chaikhoun,Nürnberg II,RL Bayern,GER - Regionalliga Bayern,Midfielder,DACH,20,U21,vollständig,29.29,🟠 MEDIUM,1.0,0.75,786.38,228.19,1014.57,0.8,4.0,🔼 HIGH,113.4,447.95,129.2,577.16,0.45,4.0,✅ YES,80.9,0.6,0.62,1.17,1.94,4.0,-0.06,14.0,0.905,ELITE,🟢 TOP TARGET,,,,,,,0.364,BELOW,0.887,STRONG,0.945,ELITE,,,,,0.477,BELOW,0.822,STRONG,0.941,ELITE,,,0.498,BELOW,,,,,,,,,,,1086,Spielmacher
Mike Bähre,Rheindorf Altach,AUT BL,AUT - Bundesliga,Midfielder,DACH,31,24+,vollständig,28.69,🟠 MEDIUM,1.0,0.15,843.66,250.79,1094.45,0.97,4.0,🔼 HIGH,170.7,543.2,167.62,710.82,0.62,4.0,✅ YES,176.2,0.59,0.62,1.17,1.77,4.0,-0.07,14.0,0.533,AVERAGE,🟢 TOP TARGET,,,,,,,0.483,BELOW,0.841,STRONG,0.636,AVERAGE,,,,,0.716,AVERAGE,0.246,WEAK,0.609,AVERAGE,,,0.096,WEAK,,,,,,,,,,,2621,Spielmacher
Tae-Seok Lee,Austria Wien,AUT BL,AUT - Bundesliga,Fullback,DACH,24,24+,vollständig,28.94,🟠 MEDIUM,1.0,0.4,783.76,241.66,1025.42,1.24,4.0,🔼 HIGH,110.8,435.88,135.19,571.07,0.83,4.0,✅ YES,68.8,0.56,0.66,1.25,1.88,4.0,-0.1,14.0,0.627,AVERAGE,🟢 TOP TARGET,0.682,AVERAGE,,,,,0.391,BELOW,0.465,BELOW,0.848,STRONG,0.377,BELOW,,,0.23,WEAK,0.651,AVERAGE,0.817,STRONG,0.553,AVERAGE,,,,,,,,,,,,,2407,Aufbauspieler
Konrad Laimer,Bayern München,BL DE,GER - Bundesliga,Fullback,DACH,29,24+,vollständig,29.64,🟠 MEDIUM,1.0,1.1,708.03,291.53,999.57,1.75,4.0,🔼 HIGH,35.1,474.84,202.62,677.46,1.14,4.0,✅ YES,107.8,0.59,0.59,1.26,1.94,4.0,-0.07,14.0,0.982,ELITE,🟢 TOP TARGET,0.979,ELITE,,,,,0.85,STRONG,0.982,ELITE,0.217,WEAK,0.909,ELITE,,,0.929,ELITE,0.793,STRONG,0.898,STRONG,0.915,ELITE,,,,,,,,,,,,,1883,Offensiver AV
Stefan Lainer,Salzburg,AUT BL,AUT - Bundesliga,Fullback,DACH,34,24+,vollständig,28.85,🟠 MEDIUM,1.0,0.31,720.71,239.93,960.63,1.45,4.0,🔼 HIGH,47.8,452.84,139.89,592.73,0.74,4.0,✅ YES,85.8,0.58,0.63,1.27,1.83,4.0,-0.08,14.0,0.965,ELITE,🟢 TOP TARGET,0.665,AVERAGE,,,,,0.764,STRONG,0.882,STRONG,0.957,ELITE,0.682,AVERAGE,,,0.676,AVERAGE,0.768,STRONG,0.955,ELITE,0.771,STRONG,,,,,,,,,,,,,1949,Offensiver AV
Koji Miyoshi,Bochum,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Winger,DACH,29,24+,vollständig,28.54,🟠 MEDIUM,1.0,0.0,856.83,290.09,1146.92,1.64,4.0,🔼 HIGH,183.9,386.57,112.67,499.24,0.43,4.0,✅ YES,19.5,0.6,0.65,1.36,1.91,4.0,-0.06,14.0,0.611,AVERAGE,🟢 TOP TARGET,,,,,,,,,0.521,AVERAGE,,,,,,,,,0.428,BELOW,0.618,AVERAGE,0.361,BELOW,0.606,AVERAGE,,,0.64,AVERAGE,,,0.513,AVERAGE,0.71,AVERAGE,961,Dribbler + Box
Magnus Dalpiaz,Bayern München II,RL Bayern,GER - Regionalliga Bayern,Fullback,DACH,19,U21,vollständig,29.52,🟠 MEDIUM,1.0,0.98,783.44,261.45,1044.9,2.21,4.0,🔼 HIGH,110.5,506.96,170.64,677.6,1.19,4.0,✅ YES,139.9,0.6,0.65,1.2,1.96,4.0,-0.06,14.0,0.646,AVERAGE,🟢 TOP TARGET,0.867,STRONG,,,,,0.912,ELITE,0.744,AVERAGE,0.484,BELOW,0.286,BELOW,,,0.913,ELITE,0.132,WEAK,0.189,WEAK,0.556,AVERAGE,,,,,,,,,,,,,1193,Defensiver AV
Israel Ogette,RB Leipzig U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,29.75,🟠 MEDIUM,1.0,1.21,737.44,299.05,1036.49,1.34,4.0,🔼 HIGH,64.5,510.03,170.84,680.88,0.44,4.0,✅ YES,143.0,0.54,0.57,1.14,1.85,4.0,-0.12,14.0,0.543,AVERAGE,🟢 TOP TARGET,,,,,0.095,WEAK,,,0.138,WEAK,,,,,,,,,0.468,BELOW,,,0.477,BELOW,,,0.976,ELITE,0.923,ELITE,0.297,BELOW,0.749,AVERAGE,,,2007,Vollstürmer
Bastien  Conus,Stade Lausanne-Ouchy,SUI CL,SUI - Challenge League,Fullback,DACH,28,24+,vollständig,29.49,🟠 MEDIUM,1.0,0.95,789.34,331.68,1121.02,1.64,4.0,🔼 HIGH,116.4,458.04,163.38,621.42,0.6,4.0,✅ YES,91.0,0.56,0.57,1.18,1.86,4.0,-0.1,14.0,0.969,ELITE,🟢 TOP TARGET,0.69,AVERAGE,,,,,0.957,ELITE,0.918,ELITE,0.864,STRONG,0.349,BELOW,,,0.895,STRONG,0.649,AVERAGE,0.948,ELITE,0.92,ELITE,,,,,,,,,,,,,2520,Offensiver AV
Benjamin Böckle,WSG Swarovski Tirol,AUT BL,AUT - Bundesliga,Fullback,DACH,24,24+,vollständig,29.44,🟠 MEDIUM,1.0,0.9,988.46,335.54,1324.01,1.54,4.0,🔼 HIGH,315.5,490.15,155.19,645.35,0.74,4.0,✅ YES,123.1,0.59,0.69,1.28,1.83,4.0,-0.07,14.0,0.517,AVERAGE,🟢 TOP TARGET,0.285,BELOW,,,,,0.243,WEAK,0.322,BELOW,0.85,STRONG,0.637,AVERAGE,,,0.085,WEAK,0.716,AVERAGE,0.752,STRONG,0.62,AVERAGE,,,,,,,,,,,,,2695,Offensiver AV
Manuel Reutter,Rödinghausen,RL West,GER - Regionalliga West,Fullback,DACH,25,24+,vollständig,30.06,🟠 MEDIUM,1.0,1.52,794.44,351.83,1146.27,2.5,4.0,🔼 HIGH,121.5,408.33,146.6,554.93,0.79,4.0,✅ YES,41.3,0.59,0.62,1.23,1.88,4.0,-0.07,14.0,0.491,BELOW,🟡 WATCHLIST,0.501,AVERAGE,,,,,0.389,BELOW,0.425,BELOW,0.63,AVERAGE,0.693,AVERAGE,,,0.332,BELOW,0.619,AVERAGE,0.682,AVERAGE,0.134,WEAK,,,,,,,,,,,,,1634,Aufbauspieler
Reinhold Ranftl,Austria Wien,AUT BL,AUT - Bundesliga,Fullback,DACH,34,24+,vollständig,29.7,🟠 MEDIUM,1.0,1.16,859.15,345.71,1204.86,2.0,4.0,🔼 HIGH,186.2,428.63,134.53,563.16,0.74,4.0,✅ YES,61.6,0.6,0.6,1.24,1.82,4.0,-0.06,14.0,0.863,STRONG,🟢 TOP TARGET,0.825,STRONG,,,,,0.298,BELOW,0.669,AVERAGE,0.881,STRONG,0.866,STRONG,,,0.193,WEAK,0.824,STRONG,0.873,STRONG,0.776,STRONG,,,,,,,,,,,,,2585,Offensiver AV
Don Carlo  Rank,Rot-Weiß Erfurt U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,30.9,🟡 FAST,2.0,2.36,912.0,451.61,1363.61,2.03,4.0,🔼 HIGH,239.0,427.89,233.23,661.13,0.59,4.0,✅ YES,60.8,0.73,0.86,,2.22,0.0,0.07,14.0,0.01,WEAK,🟡 WATCHLIST,0.024,WEAK,,,,,0.036,WEAK,0.004,WEAK,0.001,WEAK,0.339,BELOW,,,0.144,WEAK,0.271,BELOW,0.001,WEAK,0.28,BELOW,,,,,,,,,,,,,221,Allrounder
Niklas  Kölle,Ulm,3.Liga DE,GER - 3. Liga,Fullback,DACH,27,24+,vollständig,29.9,🟠 MEDIUM,1.0,1.36,973.23,402.46,1375.69,1.62,4.0,🔼 HIGH,300.3,447.81,144.53,592.33,0.74,4.0,✅ YES,80.8,0.6,0.7,1.32,1.78,4.0,-0.06,14.0,0.384,BELOW,🟡 WATCHLIST,0.238,WEAK,,,,,0.323,BELOW,0.526,AVERAGE,0.568,AVERAGE,0.257,BELOW,,,0.29,BELOW,0.59,AVERAGE,0.499,BELOW,0.732,AVERAGE,,,,,,,,,,,,,2354,Flügelläufer
Taycan Kurt,Hannover 96 U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,30.88,🟡 FAST,2.0,2.34,820.42,403.35,1223.77,1.35,4.0,🔼 HIGH,147.5,364.14,140.03,504.17,0.53,3.0,✅ YES,-2.9,0.67,0.69,1.24,1.92,3.0,0.01,14.0,0.728,AVERAGE,🟢 TOP TARGET,,,,,,,,,0.698,AVERAGE,,,,,,,,,0.432,BELOW,0.89,STRONG,0.727,AVERAGE,0.635,AVERAGE,,,0.419,BELOW,,,0.266,BELOW,0.759,STRONG,420,Komplettflügel
Clemens Lippmann,1860 München,3.Liga DE,GER - 3. Liga,Fullback,DACH,20,U21,vollständig,30.26,🟠 MEDIUM,1.0,1.72,987.5,392.19,1379.7,2.31,4.0,🔼 HIGH,314.5,489.93,177.87,667.8,1.12,4.0,✅ YES,122.9,0.58,0.61,1.13,1.85,4.0,-0.08,14.0,0.181,WEAK,🟡 WATCHLIST,0.627,AVERAGE,,,,,0.041,WEAK,0.116,WEAK,0.189,WEAK,0.767,STRONG,,,0.139,WEAK,0.241,WEAK,0.213,WEAK,0.766,STRONG,,,,,,,,,,,,,1859,Flügelläufer
Kasper Poul Mølgaard Jørgensen,LASK,AUT BL,AUT - Bundesliga,Fullback,DACH,27,24+,vollständig,29.48,🟠 MEDIUM,1.0,0.94,936.58,385.66,1322.24,1.43,4.0,🔼 HIGH,263.6,475.39,143.46,618.85,0.7,4.0,✅ YES,108.3,0.63,0.67,1.28,1.92,4.0,-0.03,14.0,0.343,BELOW,🟡 WATCHLIST,0.624,AVERAGE,,,,,0.092,WEAK,0.227,WEAK,0.451,BELOW,0.689,AVERAGE,,,0.125,WEAK,0.427,BELOW,0.561,AVERAGE,0.675,AVERAGE,,,,,,,,,,,,,2702,Flügelläufer
Nico Joel,Rot-Weiß Oberhausen U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,29.46,🟠 MEDIUM,1.0,0.92,876.89,289.08,1165.97,1.29,4.0,🔼 HIGH,203.9,480.05,147.58,627.63,0.58,4.0,✅ YES,113.0,0.61,0.63,1.2,1.93,4.0,-0.05,14.0,0.125,WEAK,🟡 WATCHLIST,0.107,WEAK,,,,,0.569,AVERAGE,0.214,WEAK,0.181,WEAK,0.354,BELOW,,,0.584,AVERAGE,0.152,WEAK,0.135,WEAK,0.388,BELOW,,,,,,,,,,,,,953,Allrounder
Paul Joly,Kaiserslautern,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Fullback,DACH,26,24+,vollständig,29.41,🟠 MEDIUM,1.0,0.87,918.04,407.69,1325.72,2.04,4.0,🔼 HIGH,245.1,434.56,130.44,565.0,0.8,4.0,✅ YES,67.5,0.65,0.68,1.3,1.95,4.0,-0.01,14.0,0.825,STRONG,🟢 TOP TARGET,0.556,AVERAGE,,,,,0.217,WEAK,0.759,STRONG,0.859,STRONG,0.598,AVERAGE,,,0.13,WEAK,0.962,ELITE,0.965,ELITE,0.964,ELITE,,,,,,,,,,,,,1953,Offensiver AV
Yuito Suzuki,Freiburg,BL DE,GER - Bundesliga,Midfielder,DACH,25,24+,vollständig,29.47,🟠 MEDIUM,1.0,0.93,853.86,312.21,1166.07,0.89,4.0,🔼 HIGH,180.9,498.7,159.91,658.62,0.38,4.0,✅ YES,131.6,0.61,0.66,1.29,1.9,4.0,-0.05,14.0,0.166,WEAK,🟡 WATCHLIST,,,,,,,0.085,WEAK,0.047,WEAK,0.203,WEAK,,,,,0.152,WEAK,0.798,STRONG,0.328,BELOW,,,0.746,AVERAGE,,,,,,,,,,,1456,Allrounder
Lado Akhalaia,Greuther Fürth II,RL Bayern,GER - Regionalliga Bayern,Striker,DACH,24,24+,vollständig,29.57,🟠 MEDIUM,1.0,1.03,768.33,261.68,1030.01,1.38,4.0,🔼 HIGH,95.4,451.05,124.04,575.09,0.43,4.0,✅ YES,84.0,0.63,0.66,1.2,1.85,4.0,-0.03,14.0,0.889,STRONG,🟢 TOP TARGET,,,,,0.878,STRONG,,,0.109,WEAK,,,,,,,,,0.333,BELOW,,,0.65,AVERAGE,,,0.82,STRONG,0.861,STRONG,0.857,STRONG,0.797,STRONG,,,808,Vollstürmer
Miran Al-Ali,Hallescher U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,28.65,🟠 MEDIUM,1.0,0.11,787.7,220.51,1008.2,0.86,4.0,🔼 HIGH,114.8,442.16,112.26,554.42,0.37,4.0,✅ YES,75.1,0.65,0.71,1.32,1.92,4.0,-0.01,14.0,0.834,STRONG,🟢 TOP TARGET,,,,,0.113,WEAK,,,0.557,AVERAGE,,,,,,,,,0.594,AVERAGE,,,0.856,STRONG,,,0.87,STRONG,0.934,ELITE,0.339,BELOW,0.725,AVERAGE,,,1458,Vollstürmer
Ronny Marcos,Kickers Offenbach,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,33,24+,vollständig,29.0,🟠 MEDIUM,1.0,0.46,803.97,246.66,1050.63,1.75,4.0,🔼 HIGH,131.0,453.83,125.55,579.38,1.27,4.0,✅ YES,86.8,0.6,0.6,1.18,1.97,4.0,-0.06,14.0,0.086,WEAK,🟡 WATCHLIST,0.234,WEAK,,,,,0.366,BELOW,0.254,BELOW,0.478,BELOW,0.206,WEAK,,,0.154,WEAK,0.149,WEAK,0.295,BELOW,0.254,BELOW,,,,,,,,,,,,,1704,Allrounder
Martim Alexandre Costa Marques,Lugano,SUI SL,SUI - Super League,Fullback,DACH,22,U23,vollständig,30.02,🟠 MEDIUM,1.0,1.48,726.21,305.13,1031.34,2.5,4.0,🔼 HIGH,53.3,434.43,153.44,587.87,1.36,4.0,✅ YES,67.4,0.58,0.62,1.18,1.86,4.0,-0.08,14.0,0.1,WEAK,🟡 WATCHLIST,0.236,WEAK,,,,,0.364,BELOW,0.335,BELOW,0.207,WEAK,0.333,BELOW,,,0.089,WEAK,0.311,BELOW,0.238,WEAK,0.404,BELOW,,,,,,,,,,,,,1592,Allrounder
Samuel Marques,Grasshopper,SUI SL,SUI - Super League,Fullback,DACH,31,24+,vollständig,29.47,🟠 MEDIUM,1.0,0.93,1136.34,417.69,1554.03,1.93,4.0,🔼 HIGH,463.4,485.56,138.43,623.99,0.63,4.0,✅ YES,118.5,0.63,0.64,1.31,1.87,4.0,-0.03,14.0,0.656,AVERAGE,🟢 TOP TARGET,0.898,STRONG,,,,,0.19,WEAK,0.506,AVERAGE,0.629,AVERAGE,0.861,STRONG,,,0.07,WEAK,0.566,AVERAGE,0.466,BELOW,0.93,ELITE,,,,,,,,,,,,,985,Flügelläufer
Pierre Nadjombe,Alemannia Aachen,3.Liga DE,GER - 3. Liga,Fullback,DACH,23,U23,vollständig,29.73,🟠 MEDIUM,1.0,1.19,1060.16,433.93,1494.09,2.38,4.0,🔼 HIGH,387.2,473.75,155.65,629.4,0.73,4.0,✅ YES,106.7,0.63,0.64,1.27,1.91,4.0,-0.03,14.0,0.241,WEAK,🟡 WATCHLIST,0.686,AVERAGE,,,,,0.196,WEAK,0.011,WEAK,0.012,WEAK,0.855,STRONG,,,0.254,BELOW,0.561,AVERAGE,0.035,WEAK,0.817,STRONG,,,,,,,,,,,,,1974,Flügelläufer
Yannick Deichmann,Ingolstadt,3.Liga DE,GER - 3. Liga,Fullback,DACH,32,24+,vollständig,30.16,🟠 MEDIUM,1.0,1.62,816.79,309.44,1126.23,1.46,4.0,🔼 HIGH,143.8,502.11,185.61,687.72,0.84,4.0,✅ YES,135.1,0.62,0.71,1.35,1.92,4.0,-0.04,14.0,0.25,BELOW,🟡 WATCHLIST,0.64,AVERAGE,,,,,0.244,WEAK,0.259,BELOW,0.356,BELOW,0.463,BELOW,,,0.042,WEAK,0.737,AVERAGE,0.388,BELOW,0.374,BELOW,,,,,,,,,,,,,1684,Allrounder
Vladimír Coufal,Hoffenheim,BL DE,GER - Bundesliga,Fullback,DACH,34,24+,vollständig,29.1,🟠 MEDIUM,1.0,0.56,901.2,303.44,1204.64,1.9,4.0,🔼 HIGH,228.2,530.61,177.85,708.46,1.2,4.0,✅ YES,163.6,0.62,0.68,1.16,1.79,4.0,-0.04,14.0,0.917,ELITE,🟢 TOP TARGET,0.568,AVERAGE,,,,,0.811,STRONG,0.653,AVERAGE,0.818,STRONG,0.637,AVERAGE,,,0.626,AVERAGE,0.909,ELITE,0.9,ELITE,0.679,AVERAGE,,,,,,,,,,,,,2925,Offensiver AV
Tidiam Gomis,RB Leipzig,BL DE,GER - Bundesliga,Winger,DACH,20,U21,vollständig,30.52,🟡 FAST,2.0,1.98,767.04,360.52,1127.55,4.69,4.0,🔼 HIGH,94.1,340.86,174.01,514.87,2.05,3.0,✅ YES,-26.2,0.59,0.59,1.35,2.08,3.0,-0.07,14.0,0.389,BELOW,🟡 WATCHLIST,,,,,,,,,0.339,BELOW,,,,,,,,,0.093,WEAK,0.047,WEAK,0.817,STRONG,0.72,AVERAGE,,,0.552,AVERAGE,,,0.262,BELOW,0.787,STRONG,210,Komplettflügel
Lucien Dahler,Thun,SUI SL,SUI - Super League,Fullback,DACH,25,24+,vollständig,29.96,🟠 MEDIUM,1.0,1.42,887.0,343.98,1230.98,1.81,4.0,🔼 HIGH,214.0,469.08,164.63,633.72,0.99,4.0,✅ YES,102.0,0.62,0.66,1.11,1.89,4.0,-0.04,14.0,0.587,AVERAGE,🟢 TOP TARGET,0.675,AVERAGE,,,,,0.148,WEAK,0.472,BELOW,0.669,AVERAGE,0.141,WEAK,,,0.289,BELOW,0.917,ELITE,0.684,AVERAGE,0.834,STRONG,,,,,,,,,,,,,1140,Offensiver AV
Robin  Müller,Havelse,3.Liga DE,GER - 3. Liga,Winger,DACH,26,24+,vollständig,29.93,🟠 MEDIUM,1.0,1.39,824.25,335.92,1160.17,1.56,4.0,🔼 HIGH,151.3,376.26,121.22,497.48,0.63,4.0,✅ YES,9.2,0.66,0.67,1.24,1.77,4.0,0.0,14.0,0.26,BELOW,🟡 WATCHLIST,,,,,,,,,0.848,STRONG,,,,,,,,,0.036,WEAK,0.007,WEAK,0.344,BELOW,0.23,WEAK,,,0.113,WEAK,,,0.756,STRONG,0.768,STRONG,1435,Dribbler
Montell  Ndikom,Hannover 96 II,RL Nord,GER - Regionalliga Nord,Winger,DACH,21,U21,vollständig,29.65,🟠 MEDIUM,1.0,1.11,924.0,323.84,1247.85,2.08,4.0,🔼 HIGH,251.0,492.9,206.4,699.3,1.32,4.0,✅ YES,125.8,0.61,0.66,1.3,1.96,4.0,-0.05,14.0,0.47,BELOW,🟡 WATCHLIST,,,,,,,,,0.465,BELOW,,,,,,,,,0.355,BELOW,0.38,BELOW,0.666,AVERAGE,0.538,AVERAGE,,,0.33,BELOW,,,0.595,AVERAGE,0.597,AVERAGE,1010,Tiefenläufer
Moritz Neumann,Floridsdorfer AC,AUT 2.L,AUT - 2. Liga,Fullback,DACH,21,U21,vollständig,28.71,🟠 MEDIUM,1.0,0.17,776.63,210.7,987.33,0.84,4.0,🔼 HIGH,103.7,408.03,107.55,515.57,0.58,4.0,✅ YES,41.0,0.62,0.6,1.31,1.83,4.0,-0.04,14.0,0.878,STRONG,🟢 TOP TARGET,0.855,STRONG,,,,,0.499,BELOW,0.836,STRONG,0.467,BELOW,0.952,ELITE,,,0.415,BELOW,0.852,STRONG,0.886,STRONG,0.559,AVERAGE,,,,,,,,,,,,,1161,Aufbauspieler
Tom  Hobrecht,Hannover 96 II,RL Nord,GER - Regionalliga Nord,Striker,DACH,20,U21,vollständig,29.47,🟠 MEDIUM,1.0,0.93,873.72,323.91,1197.63,2.32,4.0,🔼 HIGH,200.8,406.52,126.62,533.15,0.95,4.0,✅ YES,39.5,0.57,0.61,1.17,1.92,4.0,-0.09,14.0,0.228,WEAK,🟡 WATCHLIST,,,,,0.17,WEAK,,,0.135,WEAK,,,,,,,,,0.825,STRONG,,,0.326,BELOW,,,0.5,AVERAGE,0.947,ELITE,0.088,WEAK,0.274,BELOW,,,852,Abschlussspieler
Jeremie Niklaus,Hannover 96 II,RL Nord,GER - Regionalliga Nord,Fullback,DACH,21,U21,vollständig,28.98,🟠 MEDIUM,1.0,0.44,874.09,282.53,1156.62,2.37,4.0,🔼 HIGH,201.1,593.05,198.64,791.69,1.92,4.0,✅ YES,226.0,0.57,0.65,1.05,1.94,4.0,-0.09,14.0,0.822,STRONG,🟢 TOP TARGET,0.865,STRONG,,,,,0.896,STRONG,0.576,AVERAGE,0.376,BELOW,0.612,AVERAGE,,,0.952,ELITE,0.686,AVERAGE,0.39,BELOW,0.633,AVERAGE,,,,,,,,,,,,,1215,Flügelläufer
Mohamed Ouédraogo,Rheindorf Altach,AUT BL,AUT - Bundesliga,Fullback,DACH,23,U23,vollständig,29.88,🟠 MEDIUM,1.0,1.34,834.9,312.61,1147.51,1.93,4.0,🔼 HIGH,161.9,471.26,148.38,619.64,0.8,4.0,✅ YES,104.2,0.59,0.61,1.09,1.95,4.0,-0.07,14.0,0.835,STRONG,🟢 TOP TARGET,0.356,BELOW,,,,,0.637,AVERAGE,0.9,ELITE,0.815,STRONG,0.739,AVERAGE,,,0.48,BELOW,0.663,AVERAGE,0.674,AVERAGE,0.787,STRONG,,,,,,,,,,,,,2393,Offensiver AV
Hassan  Mourad,FSV Frankfurt,RL Südwest,GER - Regionalliga Südwest,Striker,DACH,27,24+,vollständig,30.26,🟠 MEDIUM,1.0,1.72,876.47,443.63,1320.09,1.77,4.0,🔼 HIGH,203.5,465.49,193.61,659.1,0.61,4.0,✅ YES,98.4,0.61,0.65,1.35,1.71,4.0,-0.05,14.0,0.434,BELOW,🟡 WATCHLIST,,,,,0.099,WEAK,,,0.082,WEAK,,,,,,,,,0.828,STRONG,,,0.851,STRONG,,,0.729,AVERAGE,0.795,STRONG,0.244,WEAK,0.238,WEAK,,,588,Vollstürmer
Kingstone Mutandwa,Ried,AUT BL,AUT - Bundesliga,Striker,DACH,23,U23,vollständig,30.27,🟠 MEDIUM,1.0,1.73,999.12,422.08,1421.2,2.26,4.0,🔼 HIGH,326.2,607.72,250.96,858.68,0.96,4.0,✅ YES,240.7,0.58,0.61,1.27,1.7,4.0,-0.08,14.0,0.458,BELOW,🟡 WATCHLIST,,,,,0.892,STRONG,,,0.219,WEAK,,,,,,,,,0.154,WEAK,,,0.159,WEAK,,,0.835,STRONG,0.614,AVERAGE,0.41,BELOW,0.648,AVERAGE,,,1842,Vollstürmer
Milian Eggers,Ingolstadt U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,29.55,🟠 MEDIUM,1.0,1.01,840.03,331.17,1171.19,1.36,4.0,🔼 HIGH,167.1,486.36,164.44,650.8,0.62,4.0,✅ YES,119.3,0.6,0.71,1.3,1.97,4.0,-0.06,14.0,0.971,ELITE,🟢 TOP TARGET,,,,,0.945,ELITE,,,0.53,AVERAGE,,,,,,,,,0.247,WEAK,,,0.826,STRONG,,,0.655,AVERAGE,0.961,ELITE,0.842,STRONG,0.863,STRONG,,,741,Vollstürmer
Phil Halbauer,Sandhausen,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,28,24+,vollständig,30.25,🟠 MEDIUM,1.0,1.71,907.26,390.22,1297.48,1.91,4.0,🔼 HIGH,234.3,451.39,158.65,610.03,1.01,4.0,✅ YES,84.3,0.65,0.66,1.36,1.91,4.0,-0.01,14.0,0.612,AVERAGE,🟢 TOP TARGET,0.684,AVERAGE,,,,,0.527,AVERAGE,0.379,BELOW,0.447,BELOW,0.696,AVERAGE,,,0.258,BELOW,0.676,AVERAGE,0.333,BELOW,0.939,ELITE,,,,,,,,,,,,,840,Flügelläufer
David Matijevic,1860 München U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,29.69,🟠 MEDIUM,1.0,1.15,876.41,380.02,1256.43,1.24,4.0,🔼 HIGH,203.5,434.61,162.86,597.47,0.72,4.0,✅ YES,67.6,0.58,0.66,1.26,1.74,4.0,-0.08,14.0,0.946,ELITE,🟢 TOP TARGET,,,,,0.66,AVERAGE,,,0.582,AVERAGE,,,,,,,,,0.827,STRONG,,,0.921,ELITE,,,0.96,ELITE,0.314,BELOW,0.646,AVERAGE,0.779,STRONG,,,1465,Lauerstürmer
Christian Günter,Freiburg,BL DE,GER - Bundesliga,Fullback,DACH,33,24+,vollständig,30.54,🟡 FAST,2.0,2.0,623.03,262.54,885.57,1.37,3.0,🔼 HIGH,-49.9,387.28,133.67,520.94,0.55,4.0,✅ YES,20.2,0.68,0.69,1.34,2.04,2.0,0.02,14.0,0.273,BELOW,🟡 WATCHLIST,0.414,BELOW,,,,,0.056,WEAK,0.08,WEAK,0.398,BELOW,0.864,STRONG,,,0.237,WEAK,0.75,STRONG,0.487,BELOW,0.324,BELOW,,,,,,,,,,,,,1531,Allrounder
Eric Babacar Gueye,Rot-Weiß Oberhausen,RL West,GER - Regionalliga West,Fullback,DACH,27,24+,vollständig,29.58,🟠 MEDIUM,1.0,1.04,1019.13,361.26,1380.4,2.18,4.0,🔼 HIGH,346.2,536.81,163.33,700.14,0.94,4.0,✅ YES,169.8,0.54,0.56,1.13,1.82,4.0,-0.12,14.0,0.855,STRONG,🟢 TOP TARGET,0.803,STRONG,,,,,0.344,BELOW,0.851,STRONG,0.722,AVERAGE,0.796,STRONG,,,0.225,WEAK,0.654,AVERAGE,0.838,STRONG,0.945,ELITE,,,,,,,,,,,,,2718,Offensiver AV
